Coluna,Tradução,Passe,Finalização,Intensidade,Defensivo,Cruzamento,Drible/corrida,Movimentação ofensiva,Movimentação defensiva,Ofensivo/Defensivo,Inverso,Bola Parada,Assistência,Gol,Disciplina,Aparentemente inútil,Estilo,Pé dominante,Passe Recebido
Gol decisivo/gol %,Gol decisivo/gol %,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n
Passes Certos %,Passes Certos %,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Passes Progressivos %,Passes Progressivos %,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Passes Progressivos/Passes %,Passes Progressivos/Passes %,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Passes Verticais/Passes %,Passes Verticais/Passes %,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
playerStats_acceleration,Aceleração,n,n,s,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n
playerStats_acceleration_success,Aceleração,n,n,s,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n
playerStats_action,Ações,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n
playerStats_action_in_counterattack,Ações em contra-ataque,n,n,s,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n
playerStats_action_in_counterattack_success,Ações em contra-ataques,n,n,s,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n
playerStats_action_success,Ações,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n
playerStats_aerial_duel,Duélo aéreo,n,n,n,s,n,n,n,n,s,n,n,n,n,n,n,n,n,n
playerStats_aerial_duel_in_own_penalty_area,Duelo aéreo na própria área,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n
playerStats_aerial_duel_in_own_penalty_area_success,Duelo aéreo na própria área ganho,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n
playerStats_aerial_duel_success,Duelo aéreo,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n
playerStats_any_free_kick,Falta cobrada,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n
playerStats_any_free_kick_success,Falta cobrada,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
playerStats_any_goal,Gol,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
playerStats_any_goal_success,Gol,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n
playerStats_assist,Assistência,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n
playerStats_assist_success,Assistência,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n
playerStats_back_pass,Passe para trás,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n
playerStats_back_pass_success,Passe para trás,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n
playerStats_back_pass_to_gk,Passe curto pro goleiro,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n
playerStats_back_pass_to_gk_success,Passe curto pro goleiro,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n
playerStats_ball_delivery_to_danger_zone,Passe para zona perigosa,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
playerStats_ball_delivery_to_danger_zone_success,Passe para zona perigosa,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
playerStats_ball_delivery_to_penalty_area,Passe para a área do pênalti,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
playerStats_ball_delivery_to_penalty_area_success,Passe para a área do pênalti,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
playerStats_ball_entry_in_final_third,Condução de bola para o terço final,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n
playerStats_ball_entry_in_final_third_success,Condução de bola para o terço final,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n
playerStats_ball_loss,Perda de bola,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n
playerStats_blocked_shot,Finalização bloqueada,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,n,n,n
playerStats_buildup_pass,Passe para saída de bola,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
playerStats_buildup_pass_success,Passe para saída de bola,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
playerStats_card_suffered,Cartão tomado,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n
playerStats_card_suffered_success,Cartão tomado,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
playerStats_clearance,Rebatida,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n
playerStats_clearance_success,Rebatida,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n
playerStats_controlled_penalty_area_entry,Entrada na área com a bola controlada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,n,n
playerStats_controlled_penalty_area_entry_success,Entrada na área com a bola controlada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,n,n
playerStats_corner,Escanteio,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n
