,id,Nome jogador,Time na época,primary_position,market_value,competição,Time,Posição,Value,Custo,Wage,Idade
0,170956,Michel Ferreira dos Santos,Vasco da Gama,Lateral Esquerdo,1000000,Brasileiro B,Grêmio Foot-Ball Porto Alegrense,"DM, M",£1m,£819k,£6k,30
1,332808,Jose Carlos Cracco Neto,Vasco da Gama,Lateral Esquerdo,900000,Brasileiro B,Sport Club Internacional,D,£1m,£698k,£7k,26
2,-112163,Natanael Moreira Milouski,Coritiba,Lateral Esquerdo,800000,Brasileiro B,Coritiba Foot Ball Club,D/WB,£55k,£133k,£653,18
3,74810,Diego Renan de Lima Ferreira,Avaí,Lateral Esquerdo,725000,Brasileiro B,Centro Sportivo Alagoano,D/WB,£253k,£251k,£3k,30
4,-85844,Luciano Batista da Silva Junior,Confiança,Lateral Esquerdo,650000,Brasileiro B,Sport Club do Recife,D/WB,£69k,£581k,£483,20
5,197768,Joao Lucas Cardoso,Avaí,Lateral Esquerdo,550000,Brasileiro B,Avaí Futebol Clube,D/WB,£200k,£359k,£1k,29
6,9776,Guilherme Oliveira Santos,Botafogo,Lateral Esquerdo,550000,Brasileiro B,Botafogo de Futebol e Regatas,D/WB,£200k,£192k,£3k,32
7,485207,Guilherme Kennedy Romao,CRB,Lateral Esquerdo,325000,Brasileiro B,Clube de Regatas Brasil,D/WB,£56k,£1m,£783,22
8,72104,Eloir Silva Moreira,Sampaio Corrêa,Lateral Esquerdo,250000,Brasileiro B,Sampaio Corrêa Futebol Clube,"DM, M , AM",£25k,£300m,£747,32
9,472790,Bryan Borges Mascarenhas,Náutico,Lateral Esquerdo,250000,Brasileiro B,Clube Náutico Capibaribe,"D/WB , DM, M , AM",£90k,£203k,£1k,23
10,301826,Felipe Augusto Ferreira Batista,Cruzeiro,Lateral Esquerdo,200000,Brasileiro B,Cruzeiro Esporte Clube,AM,£459k,£1m,£2k,28
11,-50165,Alexandre Melo Ribeiro da Silva,CRB,Lateral Esquerdo,100000,Brasileiro B,Cuiabá Esporte Clube,D/WB/M,£14k,£70k,£362,21
12,-70914,Guilherme da Trindade Dubas,Coritiba,Lateral Esquerdo,75000,Brasileiro B,Coritiba Foot Ball Club,"D/WB/M/AM , ST",£10k,£99k,£180,20
13,142546,Fabiano da Silva Souza,Operário PR,Lateral Esquerdo,50000,Brasileiro B,Operário Ferroviário Esporte Clube,D/WB,£135k,£323k,£1k,30
14,120341,Marlon Farias Castelo Branco,Remo,Lateral Esquerdo,0,Brasileiro B,Clube do Remo,D/WB,£5k,£300m,£1k,34
15,-163287,Paulo Victor de Almeida Barbosa,Botafogo,Lateral Esquerdo,0,Brasileiro B,Botafogo de Futebol e Regatas,D/WB,£214,£0,£71,19
16,199631,Jose Mario de Bona,Sampaio Corrêa,Lateral Esquerdo,0,Brasileiro B,Ypiranga Futebol Clube-RS,"D/WB , DM, M",£27k,£48k,£658,28
17,-143141,Pedro Henrique Azevedo Pereira,Vitória,Lateral Esquerdo,0,Brasileiro B,Esporte Clube Vitória,D/WB,£7k,£221k,£217,18
18,-112743,Mateus Souza Moraes,Vitória,Lateral Esquerdo,0,Brasileiro B,Esporte Clube Vitória,D,£16k,£78k,£366,19
19,-67632,Luiz Henrique dos Santos Junior,Londrina,Lateral Esquerdo,0,Brasileiro B,Londrina Esporte Clube,D/WB,£6k,£6k,£291,22
20,-113513,Jean Carlos dos Santos,Ponte Preta,Lateral Esquerdo,0,Brasileiro B,Associação Atlética Ponte Preta,D/WB,£287,£39k,£60,17
21,65010,Joao Paulo Purcino de Almeida,Confiança,Lateral Esquerdo,0,Brasileiro B,Tombense Futebol Clube,D/WB,£45k,£79k,£858,30
22,392721,Djalma Antonio da Silva Filho,Operário PR,Lateral Esquerdo,0,Brasileiro B,Operário Ferroviário Esporte Clube,D/WB,£70k,£168k,£873,25
23,482535,Hugo Ferreira de Farias,Goiás,Lateral Esquerdo,0,Brasileiro B,Clube de Regatas Brasil,D/WB,£12k,£6k,£565,22
24,-49467,Kevin Kesley de Souza,Brasil de Pelotas,Lateral Esquerdo,0,Brasileiro B,Clube Atlético Mineiro,D/WB,£4k,£4k,£203,20
25,-67910,Matheus Pereira de Souza,Cruzeiro,Lateral Esquerdo,0,Brasileiro B,Cruzeiro Esporte Clube,D/WB,£92k,£827k,£159,19
26,482777,Kevyn Lucas Ramos da Costa,CSA,Lateral Esquerdo,0,Brasileiro B,Clube Náutico Capibaribe,D/WB,£46k,£140k,£741,22
27,-113909,Matheus Nunes Fagundes de Araujo,Vasco da Gama,Lateral Esquerdo,0,Brasileiro B,Club de Regatas Vasco da Gama,DM,£1k,£32k,£95,19
28,136405,Airton Santos de Oliveira,Brusque,Lateral Esquerdo,0,Brasileiro B,Brusque Futebol Clube,D/WB,£22k,£26k,£860,31
29,291310,Alex Ruan Vasconcelos Ferreira,Brusque,Lateral Esquerdo,0,Brasileiro B,Brusque Futebol Clube,D/WB/AM,£43k,£76k,£1k,27
30,-165452,Eliel da Silva,Guarani,Lateral Esquerdo,0,Brasileiro B,Guarani Futebol Clube,D/WB,£41k,£1m,£717,18
31,-50708,Matheus Lima Beltrao Oliveira,Guarani,Lateral Esquerdo,0,Brasileiro B,Guarani Futebol Clube,D/WB,£436k,£1m,£3k,21
32,-109543,Bruno Gomes da Silva Clevelario,Vasco da Gama,Volante,4000000,Brasileiro B,Club de Regatas Vasco da Gama,"DM, M",£639k,£11m,£9k,19
33,398755,Andrey Ramos do Nascimento,Vasco da Gama,Volante,1800000,Brasileiro B,Club de Regatas Vasco da Gama,"DM, M",£2m,£4m,£3k,22
34,317939,Wanderson Ferreira de Oliveira,Avaí,Volante,800000,Brasileiro B,Avaí Futebol Clube,"M , AM",£685k,£904k,£4k,25
35,32925,Willian Roberto de Farias,Coritiba,Volante,800000,Brasileiro B,Coritiba Foot Ball Club,"DM, M",£2m,£300m,£5k,31
36,373415,Matheus de Sales Cabral,Coritiba,Volante,700000,Brasileiro B,Coritiba Foot Ball Club,"DM, M",£1m,£3m,£1k,25
37,447817,Gustavo Costa da Silva Machado,Coritiba,Volante,700000,Brasileiro B,Esporte Clube Juventude,"DM, M",£487k,£3m,£3k,23
38,229740,Pedro Henrique de Castro Silva,Botafogo,Volante,650000,Brasileiro B,Botafogo de Futebol e Regatas,"DM, M/AM",£342k,£328k,£3k,27
39,478727,Joao Paulo Ferreira Lourenco,Avaí,Volante,600000,Brasileiro B,Avaí Futebol Clube,D/WB/M/AM,£235k,£477k,£1k,22
40,170927,Gabriel Santana Pinto,CSA,Volante,550000,Brasileiro B,Centro Sportivo Alagoano,"M , AM",£2m,£3m,£4k,30
41,65223,Ricardo Dias Acosta,Botafogo,Volante,500000,Brasileiro B,Ceará Sporting Club,M/AM,£68k,£81k,£4k,34
42,-59920,Caio Vinicius da Conceicao,Goiás,Volante,500000,Brasileiro B,Fluminense Football Club,"DM, M",£9k,£279k,£267,21
43,101377,Geovane Batista de Faria,CSA,Volante,475000,Brasileiro B,Centro Sportivo Alagoano,"DM, M",£88k,£79k,£1k,31
44,180880,Matheus Barbosa Teixeira,Cruzeiro,Volante,475000,Brasileiro B,Cruzeiro Esporte Clube,DM,£436k,£393k,£2k,25
45,330875,Jose Rodrigo Andrade Ramos,Guarani,Volante,475000,Brasileiro B,Guarani Futebol Clube,"DM, M",£78k,£271k,£1k,23
46,65001,Bruno da Silva Barbosa,Guarani,Volante,400000,Brasileiro B,Guarani Futebol Clube,"D , DM",£297k,£300m,£3k,32
47,32916,Pedro Ken Morimoto Moreira,Operário PR,Volante,400000,Brasileiro B,Operário Ferroviário Esporte Clube,"DM, M",£84k,£300m,£3k,33
48,473995,Vinicius Farias Locatelli,Ponte Preta,Volante,350000,Brasileiro B,Associação Atlética Ponte Preta,M/AM,£67k,£2m,£951,22
49,-109550,Alexandre de Almeida Silva Junior,Vasco da Gama,Volante,350000,Brasileiro B,Club de Regatas Vasco da Gama,"DM, M , AM",£116k,£5m,£991,19
50,230412,Giovanni Piccolomo,Cruzeiro,Volante,325000,Brasileiro B,Cruzeiro Esporte Clube,"M , AM",£684k,£2m,£3k,26
51,473218,Valdemir de Oliveira Soares,Coritiba,Volante,325000,Brasileiro B,Coritiba Foot Ball Club,DM,£37k,£57k,£477,23
52,397411,Arthur Rodrigues Rezende,Vila Nova,Volante,325000,Brasileiro B,Vila Nova Futebol Clube,"M , AM",£174k,£153k,£2k,26
53,396804,Marciel Silva da Silva,Náutico,Volante,250000,Brasileiro B,Clube Náutico Capibaribe,"D , DM, M",£487k,£965k,£2k,25
54,79762,Vinicius Kiss Silva Tobias,Remo,Volante,250000,Brasileiro B,Botafogo Futebol Clube-SP,"D , M/AM",£46k,£300m,£864,32
55,254081,Fernando Jose da Cunha Neto,Vitória,Volante,200000,Brasileiro B,Esporte Clube Vitória,"DM, M",£647k,£854k,£2k,27
56,435663,Romulo da Silva Machado,Brasil de Pelotas,Volante,200000,Brasileiro B,Grêmio Esportivo Brasil,"DM, M",£303k,£100k,£2k,24
57,343161,Leandro Vilela Sales Teixeira,Operário PR,Volante,200000,Brasileiro B,Operário Ferroviário Esporte Clube,"DM, M",£53k,£127k,£873,25
58,-68862,Gabriel Henrique Pierini,Brasil de Pelotas,Volante,150000,Brasileiro B,Cuiabá Esporte Clube,"DM, M",£11k,£15k,£279,20
59,71050,Rafael Batista,Operário PR,Volante,150000,Brasileiro B,Operário Ferroviário Esporte Clube,"M/AM , ST",£38k,£27k,£731,31
60,295051,Marcos Vinicius Serrato,Avaí,Volante,125000,Brasileiro B,Sport Club do Recife,"DM, M",£61k,£41k,£655,26
61,464148,Matheus Trindade Goncalves,Náutico,Volante,125000,Brasileiro B,Clube Náutico Capibaribe,"DM, M",£5k,£2k,£194,24
62,404642,Carlos Eduardo Bacila Jatoba,CRB,Volante,100000,Brasileiro B,Clube de Regatas Brasil,"DM, M",£108k,£41k,£2k,24
63,481876,Wesley Soares Xavier,Avaí,Volante,100000,Brasileiro B,Avaí Futebol Clube,"DM, M",£37k,£112k,£546,22
64,310385,Djavan Aulim Candido de Souza,Náutico,Volante,75000,Brasileiro B,Clube Náutico Capibaribe,"DM, M",£90k,£84k,£1k,24
65,-37823,Madison Araujo Costa,Goiás,Volante,50000,Brasileiro B,Goiás Esporte Clube,DM,£93k,£161k,£793,22
66,481877,Jean Francisco Martim Candido,Avaí,Volante,50000,Brasileiro B,Avaí Futebol Clube,"DM, M",£97k,£2m,£948,21
67,294400,Mauro Silva do Nascimento Junior,Sampaio Corrêa,Volante,50000,Brasileiro B,Associação Atlética Portuguesa-RJ,DM,£14k,£24k,£684,26
68,469819,Daniel dos Santos Penha,Confiança,Volante,50000,Brasileiro B,Esporte Clube Bahia,AM,£50k,£135k,£714,21
69,523522,Adriano Firmino dos Santos da Silva,Cruzeiro,Volante,50000,Brasileiro B,Cruzeiro Esporte Clube,"DM, M",£69k,£919k,£159,20
70,391635,Luiz Eduardo Fleuri Pacheco,Vila Nova,Volante,0,Brasileiro B,Vila Nova Futebol Clube,DM,£67k,£148k,£992,23
71,-96718,Leonardo Naldi de Matos,Ponte Preta,Volante,0,Brasileiro B,Associação Atlética Ponte Preta,"DM, M",£10k,£22k,£258,18
72,475981,Vitor Hugo da Silva Nunes,Londrina,Volante,0,Brasileiro B,Ypiranga Futebol Clube-RS,M/AM,£19k,£49k,£509,24
73,-50552,Bruno Matias dos Santos,Brasil de Pelotas,Volante,0,Brasileiro B,Grêmio Esportivo Brasil,M/AM,£17k,£21k,£553,21
74,153212,Gerson Rodolfo da Silva,Brusque,Volante,0,Brasileiro B,Brusque Futebol Clube,"DM, M",£11k,£5k,£684,32
75,112199,Leandro Ferreira Pessoa,Sampaio Corrêa,Volante,0,Brasileiro B,Sampaio Corrêa Futebol Clube,"DM, M",£9k,£11k,£674,34
76,410318,Luis Felipe Oyama,Botafogo,Volante,0,Brasileiro B,Mirassol Futebol Clube,"DM, M",£24k,£26k,£729,23
77,447595,Andre Luiz Guimaraes Siqueira Junior,Sampaio Corrêa,Volante,0,Brasileiro B,Sampaio Corrêa Futebol Clube,DM,£51k,£129k,£711,24
