,Campeonato,Nota
0,Brasileiro A,5
1,Brasileiro B,3.3
2,Brasileiro C,2.3
3,Brasileiro D,1
4,Estaduais,2
5,Argentina A,5
6,Argentina B,3
7,Colombia,4
8,Ecuador,3.3
9,Chile,2.3
10,Uruguai,2.7
11,México,3.3
12,Venezuela,1.3
13,Paraguai,2.7
14,MLS,3
15,Portugal A,4
16,Portugal B,2
17,Japão,3
18,Coréia,2.7
19,Oriente médio,2.3
20,Base,1
21,Europa,5
22,-,5
23,Peru,1.8
24,Copa Nordeste,1
25,Paulista,1
26,Carioca,1
27,Catarinense,1
28,Gaúcho,1
29,Mineiro,1
30,Goiano,1
31,Paulista A2,1
32,Pernambucano,1
33,Personalizado,5
34,England A,8
35,England B,5
36,Holanda A,5
37,Espanha A,8
38,Paulista A3,1
39,Turquia,3
40,Itália A,8
41,França A,8
42,Alemanha A,8
43,Espanha B,3
44,Bolivia,1.3
