nome_posicao,x_coluna,y_coluna,nome_gráfico,nome_titulo
Atacante,xG/chute,playerStats_shot_success,Finalização,Ofensivo
Atacante,playerStats_off_the_ball,playerStats_received_dangerous_pass,Movimentação,Movimentação
Atacante,playerStats_pressing_duel,playerStats_quick_recovery_success,Pressão,Ofensivo
Atacante,xA/assistência,playerStats_key_pass_success,Passe chave,Ofensivo
Atacante,playerStats_shot_in_counterattack_success,playerStats_action_in_counterattack,Transição ofensiva,Movimentação
Atacante,playerStats_aerial_duel_success,playerStats_head_shot_success,Bola aérea,Ofensivo
Atacante,playerStats_dribble_with_take_on_success,playerStats_progressive_run_success,Velocidade,Movimentação
Atacante,playerStats_offensive_shielding_success,playerStats_linkup_play_success,Retenção,Movimentação
Extremo,xG/chute,playerStats_shot_success,Finalização,Ofensivo
Extremo,playerStats_off_the_ball,playerStats_received_dangerous_pass,Movimentação,Movimentação
Extremo,playerStats_shot_in_counterattack_success,playerStats_action_in_counterattack,Transição ofensiva,Movimentação
Extremo,playerStats_dribble_with_take_on_success,playerStats_progressive_run_success,Velocidade,Movimentação
Extremo,playerStats_pressing_duel,playerStats_quick_recovery_success,Pressão,Ofensivo
Extremo,xA/assistência,playerStats_key_pass_success,Passe chave,Ofensivo
Extremo,playerStats_cross_success,playerStats_assist_success,Passes para finalização,Ofensivo
Extremo,Toque na área %,playerStats_controlled_penalty_area_entry_success,Entrada na área,Movimentação
Meio Campista,xG/chute,playerStats_shot_success,Finalização,Ofensivo
Meio Campista,playerStats_off_the_ball,playerStats_received_dangerous_pass,Movimentação,Movimentação
Meio Campista,playerStats_shot_in_counterattack_success,playerStats_action_in_counterattack,Transição ofensiva,Movimentação
Meio Campista,playerStats_dribble_with_take_on_success,playerStats_progressive_run_success,Velocidade,Movimentação
Meio Campista,playerStats_pressing_duel,playerStats_quick_recovery_success,Pressão,Ofensivo
Meio Campista,xA/assistência,playerStats_key_pass_success,Passe chave,Ofensivo
Meio Campista,playerStats_pre_assist_success,Passes Progressivos/Passes %,Progressão,Ofensivo
Meio Campista,Toque na área %,Finalização/Toque na área,Entrada na área,Movimentação
Volante,playerStats_shot_in_counterattack_success,playerStats_action_in_counterattack,Transição ofensiva,Ofensivo
Volante,playerStats_pre_assist_success,Passes Progressivos/Passes %,Progressão,Ofensivo
Volante,playerStats_off_the_ball,playerStats_touch_in_box,Movimentação,Ofensivo
Volante,Passes Certos %,playerStats_received_pass,Distribuição,Ofensivo
Volante,playerStats_interception_success,playerStats_defensive_positioning,Posicionamento,Defensivo
Volante,playerStats_defensive_duel_success,playerStats_defensive_one_on_one_success,Desarmes,Defensivo
Volante,playerStats_aerial_duel,Duelo Aéreo Ganho %,Áereo,Defensivo
Volante,playerStats_covering_depth,playerStats_quick_recovery_success,Pressão,Defensivo
Lateral direito,playerStats_cross_success,playerStats_assist_success,Passes para finalização,Ofensivo
Lateral direito,playerStats_dribble_with_take_on_success,playerStats_progressive_run_success,Velocidade,Ofensivo
Lateral direito,playerStats_off_the_ball,playerStats_touch_in_box,Movimentação,Ofensivo
Lateral direito,playerStats_diagonal_to_flank_success,Passes Progressivos/Passes %,Progressão,Ofensivo
Lateral direito,playerStats_interception_success,playerStats_defensive_positioning,Posicionamento,Defensivo
Lateral direito,playerStats_dribbled_past_attempt,playerStats_defensive_one_on_one_success,Duelo,Defensivo
Lateral direito,playerStats_defensive_duel_success,playerStats_pressing_duel,Desarmes,Defensivo
Lateral direito,playerStats_covering_depth,playerStats_quick_recovery_success,Pressão,Defensivo
Lateral Esquerdo,playerStats_cross_success,playerStats_assist_success,Passes para finalização,Ofensivo
Lateral Esquerdo,playerStats_dribble_with_take_on_success,playerStats_progressive_run_success,Velocidade,Ofensivo
Lateral Esquerdo,playerStats_off_the_ball,playerStats_touch_in_box,Movimentação,Ofensivo
Lateral Esquerdo,playerStats_diagonal_to_flank_success,Passes Progressivos/Passes %,Progressão,Ofensivo
Lateral Esquerdo,playerStats_interception_success,playerStats_defensive_positioning,Posicionamento,Defensivo
Lateral Esquerdo,playerStats_dribbled_past_attempt,playerStats_defensive_one_on_one_success,Duelo,Defensivo
Lateral Esquerdo,playerStats_defensive_duel_success,playerStats_pressing_duel,Desarmes,Defensivo
Lateral Esquerdo,playerStats_covering_depth,playerStats_quick_recovery_success,Pressão,Defensivo
Zagueiro,Passes Progressivos/Passes %,playerStats_pass,Progressão,Ofensivo
Zagueiro,playerStats_head_shot,playerStats_aerial_duel,Cabeceio,Ofensivo
Zagueiro,playerStats_aerial_duel_in_own_penalty_area,Duelo Aéreo Ganho %,Áereo,Ofensivo
Zagueiro,playerStats_clearance_success,playerStats_foul,Rebatida,Defensivo
Zagueiro,playerStats_interception_success,playerStats_defensive_positioning,Posicionamento,Defensivo
Zagueiro,playerStats_defensive_duel_success,playerStats_defensive_one_on_one_success,Desarmes,Defensivo
Zagueiro,Passes Certos %,playerStats_received_pass,Distribuição,Ofensivo
Zagueiro,playerStats_covering_depth,playerStats_quick_recovery_success,Pressão,Defensivo
