nome_posicao,coluna
Atacante,playerStats_touch_in_box
Atacante,xG/chute
Atacante,playerStats_received_progressive_pass_success
Atacante,xA/assistência
Atacante,playerStats_off_the_ball
Atacante,playerStats_aerial_duel_success
Atacante,playerStats_pressing_duel
Atacante,playerStats_offensive_shielding_success
Extremo,playerStats_touch_in_box
Extremo,xG/chute
Extremo,xA/assistência
Extremo,playerStats_off_the_ball
Extremo,playerStats_pressing_duel
Extremo,playerStats_dribble_with_take_on_success
Extremo,playerStats_cross_success
Extremo,playerStats_key_pass_success
Meio Campista,playerStats_touch_in_box
Meio Campista,xG/chute
Meio Campista,xA/assistência
Meio Campista,playerStats_off_the_ball
Meio Campista,playerStats_key_pass_success
Meio Campista,playerStats_progressive_pass_success
Meio Campista,playerStats_action_in_counterattack
Meio Campista,playerStats_pressing_duel
Volante,playerStats_pressing_duel
Volante,playerStats_defensive_duel_success
Volante,playerStats_interception_success
Volante,playerStats_touch_in_box
Volante,playerStats_progressive_pass_success
Volante,playerStats_received_pass
Volante,playerStats_covering_depth
Volante,playerStats_action_in_counterattack
Lateral direito,playerStats_cross_success
Lateral direito,playerStats_key_pass_success
Lateral direito,playerStats_defensive_duel_success
Lateral direito,playerStats_interception_success
Lateral direito,playerStats_dribble_with_take_on_success
Lateral direito,playerStats_touch_in_box
Lateral direito,playerStats_progressive_run_success
Lateral direito,playerStats_progressive_pass_success
Lateral Esquerdo,playerStats_cross_success
Lateral Esquerdo,playerStats_key_pass_success
Lateral Esquerdo,playerStats_defensive_duel_success
Lateral Esquerdo,playerStats_interception_success
Lateral Esquerdo,playerStats_dribble_with_take_on_success
Lateral Esquerdo,playerStats_touch_in_box
Lateral Esquerdo,playerStats_progressive_run_success
Lateral Esquerdo,playerStats_progressive_pass_success
Zagueiro,playerStats_defensive_duel_success
Zagueiro,playerStats_interception_success
Zagueiro,playerStats_aerial_duel_success
Zagueiro,playerStats_defensive_positioning
Zagueiro,playerStats_progressive_pass_success
Zagueiro,playerStats_defensive_one_on_one_success
Zagueiro,playerStats_pressing_duel
Zagueiro,playerStats_pass
